name,mark1,mark2,total
Arun,78,82,160
Vijay,85,79,164
Karthik,67,70,137
Suresh,92,88,180
Praveen,74,76,150
Rahul,88,90,178
Ajith,91,85,176
Manoj,69,72,141
Ramesh,73,75,148
Dinesh,80,83,163
Santhosh,77,78,155
Deepak,84,86,170
Kiran,66,68,134
Harish,95,92,187
Gokul,72,74,146
Vishal,89,91,180
Naveen,90,87,177
Aravind,68,70,138
Balaji,79,81,160
Lokesh,83,85,168
Surya,76,78,154
Rohit,87,89,176
Kumar,65,67,132
Sathish,93,90,183
Vinod,71,73,144
Kishore,82,84,166
Madhan,75,77,152
Prakash,86,88,174
Saravanan,70,72,142
Anand,81,83,164
Vignesh,78,80,158
Ashwin,88,90,178
Rajesh,69,71,140
Kavin,94,91,185
Senthil,73,75,148
Murali,85,87,172
Nithin,77,79,156
Yogesh,90,92,182
Imran,68,70,138
Farhan,84,86,170
Aakash,79,81,160
Pranav,91,89,180
Aditya,66,68,134
Varun,92,94,186
Tarun,74,76,150
Nikhil,87,85,172
Rajat,80,82,162
Sameer,89,91,180
Amit,72,74,146
Kunal,83,85,168
Arjun,78,80,158
Tejas,86,88,174
Dev,69,71,140
Krishna,95,93,188
Hari,73,75,148
Omkar,84,86,170
Pavan,77,79,156
Ravi,90,88,178
Naresh,68,70,138
Mahesh,82,84,166
Ganesh,75,77,152
Vasanth,88,90,178
Selva,71,73,144
Bharath,93,91,184
Ezhil,76,78,154
Karthi,87,89,176
Tharun,65,67,132
Jagan,91,89,180
Sanjay,79,81,160
Vimal,83,85,168
Anbu,78,80,158
Siva,86,88,174
Prithvi,69,71,140
Roshan,94,92,186
Darshan,73,75,148
Yash,85,87,172
Zubair,77,79,156
Faizal,90,92,182
Irfan,68,70,138
Jeeva,84,86,170
Karthikeyan,79,81,160
Loganathan,91,89,180
Muthu,66,68,134
Nandha,92,94,186
Perumal,74,76,150
Rajkumar,87,85,172
Sankar,80,82,162
Thiru,89,91,180
Uday,72,74,146
Vetri,83,85,168
Waseem,78,80,158
Xavier,86,88,174
Yuvan,69,71,140
Zakir,95,93,188
